name,lng,lat
凤鸣湖实验小学(公交站),118.368704,31.400513
凤鸣湖实验小学(对侧),118.369211,31.400500
福海家具北(公交站),118.377834,31.360356
福海家具北(对侧),118.378175,31.360300
福海家具西(公交站),118.374514,31.358854
福海家具西(对侧),118.375013,31.359080
港湾路(公交站),118.376451,31.415376
港湾路(对侧),118.375816,31.415488
港一路公交枢纽(公交站),118.367634,31.388428
港一路公交枢纽(对侧),118.368169,31.388292
高速东方御府南(公交站),118.484562,31.356871
高速东方御府南(对侧),118.485119,31.357049
公交集团公司(公交站),118.404614,31.415495
公交集团公司(对侧),118.405094,31.415339
供水总公司(公交站),118.373763,31.350464
供水总公司(对侧),118.374176,31.350401
古玩市场(公交站),118.363220,31.337174
古玩市场(对侧),118.364355,31.337151
广电中心(公交站),118.385131,31.339415
广电中心(对侧),118.384875,31.339255
广福路(公交站),118.368179,31.380332
广福路(对侧),118.367789,31.380400
广济寺(公交站),118.379063,31.336081
广济寺(对侧),118.379000,31.336280
锅炉厂(公交站),118.364961,31.407157
锅炉厂(对侧),118.364896,31.407356
国际会展中心·中医医院(公交站),118.380558,31.295508
国际会展中心·中医医院(对侧),118.381141,31.295366
国家广告产业园(公交站),118.413574,31.335638
国家广告产业园(对侧),118.414153,31.335476
国泰路安澜路(公交站),118.445374,31.346238
国泰路安澜路(对侧),118.444852,31.346072
国泰路河清路(公交站),118.437498,31.346265
国泰路河清路(对侧),118.436856,31.346169
海创·汀海壹品(公交站),118.394080,31.357582
海创·汀海壹品(南侧)(公交站),118.394080,31.357582
海创·汀海壹品(对侧),118.393841,31.357718
海创汀海壹品(公交站),118.394080,31.357582
海创汀海壹品(对侧),118.393841,31.357718
海晏路和悦路(公交站),118.441380,31.342057
海晏路和悦路(对侧),118.440871,31.342242
海晏路仁和路(公交站),118.441633,31.348422
海晏路仁和路(对侧),118.442128,31.348543
海晏路神山路(公交站),118.441644,31.345028
海晏路神山路(对侧),118.442116,31.344850
合南社区(公交站),118.365009,31.408889
合南社区(对侧),118.364839,31.409016
河清路(公交站),118.436938,31.357985
河清路(对侧),118.437209,31.358025
河塘村(公交站),118.387215,31.408421
